Giá,Diện tích,Mặt tiền,Đường trước nhà,Số tầng,Số phòng,Số toilet,Nội thất_cơ bản,Nội thất_không,Nội thất_đầy đủ
12.8,85.0,5.0,10.0,2.0,3.0,4.0,0,1,0
8.8,75.0,4.0,6.0,2.0,3.0,2.0,0,1,0
11.0,82.0,4.0,6.0,5.0,5.0,5.0,0,1,0
5.1,76.0,1.0,1.0,2.0,1.0,1.0,0,1,0
33.0,210.0,10.0,1.0,4.0,6.0,1.0,0,0,1
7.0,80.0,1.0,1.0,1.0,1.0,1.0,0,1,0
12.8,80.0,5.0,10.0,4.0,3.0,2.0,0,1,0
70.0,99.0,8.0,12.0,6.0,6.0,6.0,0,1,0
12.8,80.0,5.0,10.0,4.0,3.0,2.0,0,1,0
7.1,40.0,4.0,4.0,5.0,8.0,8.0,0,1,0
7.1,40.0,4.0,4.0,5.0,8.0,8.0,0,1,0
30.0,100.0,4.0,1.0,1.0,1.0,1.0,0,1,0
4.0,75.0,4.0,7.0,3.0,3.0,2.0,0,1,0
17.5,125.0,5.0,12.0,5.0,6.0,6.0,0,1,0
5.6,91.3,1.0,1.0,1.0,1.0,1.0,0,1,0
23.0,155.0,6.0,20.0,1.0,1.0,1.0,0,1,0
10.5,64.0,4.0,21.0,2.0,1.0,2.0,0,1,0
10.5,64.0,4.0,21.0,2.0,1.0,2.0,0,1,0
5.6,91.3,1.0,1.0,1.0,1.0,1.0,0,1,0
18.8,104.0,4.0,12.0,6.0,4.0,4.0,0,0,1
26.0,75.0,5.0,1.0,4.0,1.0,1.0,0,1,0
26.0,75.0,5.0,1.0,4.0,1.0,1.0,0,1,0
26.0,75.0,5.0,1.0,4.0,1.0,1.0,0,1,0
18.0,80.0,4.0,1.0,2.0,1.0,1.0,0,1,0
18.0,80.0,4.0,1.0,2.0,1.0,1.0,0,1,0
18.0,72.0,4.0,1.0,3.0,1.0,1.0,0,1,0
1.6,16.0,4.0,3.0,2.0,2.0,2.0,0,1,0
5.6,371.0,4.0,3.0,2.0,2.0,2.0,0,1,0
6.9,53.0,3.0,4.0,3.0,4.0,3.0,0,1,0
6.9,53.0,3.0,4.0,3.0,4.0,3.0,0,1,0
6.9,53.0,3.0,4.0,3.0,4.0,3.0,0,1,0
6.0,118.0,4.0,3.0,3.0,4.0,4.0,0,1,0
5.3,64.0,6.0,6.0,2.0,2.0,2.0,0,1,0
7.4,40.0,4.0,4.0,5.0,8.0,8.0,0,1,0
7.4,40.0,4.0,4.0,5.0,8.0,8.0,0,1,0
