,Giá,Diện tích,Mặt tiền,Số tầng,Số phòng,Số toilet,Không,Đầy đủ,Cơ bản
206,6.5,70.0,7,3,9,9,1,0,0
207,6.5,70.0,7,3,9,9,1,0,0
208,6.5,70.0,7,3,9,9,1,0,0
209,6.5,70.0,7,3,9,9,1,0,0
210,24.0,148.0,7,2,2,2,1,0,0
211,7.9,55.0,4,2,3,2,1,0,0
212,11.5,63.0,5,6,18,16,1,0,0
213,5.8,51.0,5,2,3,2,1,0,0
214,5.8,51.0,5,2,3,2,1,0,0
215,5.8,51.0,5,2,3,2,1,0,0
216,5.8,51.0,5,2,3,2,1,0,0
217,5.8,51.0,5,2,3,2,1,0,0
218,5.8,51.0,5,2,3,2,1,0,0
219,5.8,51.0,5,2,3,2,1,0,0
220,22.9,85.0,4,2,2,2,1,0,0
221,5.8,51.0,5,2,3,2,1,0,0
222,5.8,51.0,5,2,3,2,1,0,0
223,5.8,51.0,5,2,3,2,1,0,0
224,5.8,51.0,5,2,3,2,1,0,0
225,5.8,51.0,5,2,3,2,1,0,0
226,5.8,51.0,5,2,3,2,1,0,0
227,5.8,51.0,5,2,3,2,1,0,0
228,5.8,51.0,5,2,3,2,1,0,0
229,5.8,51.0,5,2,3,2,1,0,0
230,5.8,51.0,5,2,3,2,1,0,0
231,5.8,51.0,5,2,3,2,1,0,0
232,5.8,51.0,5,2,3,2,1,0,0
233,12.5,85.0,5,2,4,4,1,0,0
234,5.5,52.0,4,5,4,4,1,0,0
235,2.23,20.0,3,3,2,2,1,0,0
236,5.8,51.0,5,2,3,2,1,0,0
237,5.8,51.0,5,2,3,2,1,0,0
238,5.8,51.0,5,2,3,2,1,0,0
239,11.0,95.0,6,1,3,2,1,0,0
240,7.9,55.0,4,2,3,2,1,0,0
241,16.5,96.0,6,6,9,4,1,0,0
242,3.6,45.0,5,3,3,3,1,0,0
243,5.6,36.0,4,4,3,3,0,1,0
244,35.0,145.0,13,1,4,4,1,0,0
245,15.99,129.0,4,6,32,32,1,0,0
246,67.0,305.0,12,4,6,6,1,0,0
247,16.5,96.0,6,5,9,4,0,0,1
248,3.4,39.0,4,2,2,2,1,0,0
249,1.86,50.0,1,1,1,1,1,0,0
250,7.9,55.0,4,2,3,2,1,0,0
251,66.5,230.0,12,9,52,55,1,0,0
252,7.9,55.0,4,2,3,2,1,0,0
253,6.0,45.0,4,4,4,3,1,0,0
254,6.0,45.0,4,4,4,3,1,0,0
255,6.0,45.0,4,4,4,3,1,0,0
256,6.0,45.0,4,4,4,3,1,0,0
257,6.0,45.0,4,4,4,3,1,0,0
258,6.0,45.0,4,4,4,3,1,0,0
259,6.0,45.0,4,4,4,3,1,0,0
260,3.7,47.0,4,2,2,2,1,0,0
261,2.79,46.0,5,1,1,1,1,0,0
262,14.0,85.0,5,5,5,5,1,0,0
263,3.0,51.0,4,2,2,2,1,0,0
264,3.0,51.0,4,2,2,2,1,0,0
265,649.0,64.0,4,1,2,1,1,0,0
266,3.75,48.0,4,2,3,2,1,0,0
267,23.9,97.0,9,4,5,5,0,0,1
268,27.0,283.0,12,1,1,1,1,0,0
269,4.5,20.0,3,3,2,2,1,0,0
270,23.0,100.0,6,4,5,6,1,0,0
271,3.0,51.0,4,2,2,2,1,0,0
272,213.4085558092581,100.0,5,1,1,1,1,0,0
273,6.5,40.0,4,4,6,4,1,0,0
274,213.4085558092581,100.0,5,1,1,1,1,0,0
275,6.5,40.0,4,4,6,4,1,0,0
276,6.5,40.0,4,4,6,4,1,0,0
277,6.5,40.0,4,4,6,4,1,0,0
278,6.5,40.0,4,4,6,4,1,0,0
279,6.5,40.0,4,4,6,4,1,0,0
280,6.5,40.0,4,4,6,4,1,0,0
281,6.5,40.0,4,4,6,4,1,0,0
282,6.5,40.0,4,4,6,4,1,0,0
283,6.5,40.0,4,4,6,4,1,0,0
284,6.5,40.0,4,4,6,4,1,0,0
285,6.5,40.0,4,4,6,4,1,0,0
286,6.5,40.0,4,4,6,4,1,0,0
287,6.5,40.0,4,4,6,4,1,0,0
288,6.5,40.0,4,4,6,4,1,0,0
289,6.5,40.0,4,4,6,4,1,0,0
290,6.5,40.0,4,4,6,4,1,0,0
291,6.5,40.0,4,4,6,4,1,0,0
292,6.5,40.0,4,4,6,4,1,0,0
293,230.0,276.0,8,7,34,35,1,0,0
294,6.9,53.0,3,3,4,3,1,0,0
295,6.9,53.0,3,3,4,3,1,0,0
296,6.9,53.0,3,3,4,3,1,0,0
297,6.9,53.0,3,3,4,3,1,0,0
298,6.9,53.0,3,3,4,3,1,0,0
299,6.9,53.0,3,3,4,3,1,0,0
300,6.9,53.0,3,3,4,3,1,0,0
301,62.0,333.0,13,3,9,9,1,0,0
302,7.1,40.0,4,5,8,8,1,0,0
303,3.0,51.0,4,2,2,2,1,0,0
304,2.7,23.0,4,4,2,3,1,0,0
305,1.35,56.0,1,1,2,3,0,1,0
306,5.7,35.0,12,4,4,5,1,0,0
307,3.0,51.0,4,2,2,2,1,0,0
308,12.8,85.0,5,2,3,4,1,0,0
309,5.4,45.0,5,4,3,4,1,0,0
310,15.0,95.0,5,2,2,2,1,0,0
311,7.5,48.0,4,4,4,5,1,0,0
